Subclass/Order,Family,Species,Species2,No. +,No. -,No. 0,other,Total no. responses,"Feeding strategy",Reproductive rate,Ovigeny,Egg number,Sensory mode,Mobility,Dispersal,Number
Acarina,Tetranychidae,"T. cucurbitacearum (Sayed)T. araicus (Attiah)",Tetranychus cucurbitacearum (Sayed),1,0,0,0,1,monophagus,,,,,,,1
Acarina,Tetranychidae,Eotetranychus sexmaculatus (Riley),Eotetranychus sexmaculatus (Riley),0,1,0,0,1,monophagus,,,,,,,2
Acarina,Tetranychidae,E. willametei Ewing,Eotetranychus willametei Ewing,0,1,0,0,1,monophagus,,,,,,,3
Acarina,Tetranychidae,Eutetranychus banksi (McG.),Eutetranychus banksi (McG.),0,0,1,0,1,monophagus,,,,,,,4
Acarina,Tetranychidae,Metatetranychis citri (McG.),Metatetranychis citri (McG.),0,1,0,0,1,monophagus,,,,,,,5
Acarina,Tetranychidae,Panonychus citri (McG.),Panonychus citri (McG.),0,0,0,1,1,monophagus,,,,,,,6
Acarina,Tenuipalpidae,Brevipalpus phoenicis (Geijskes),Brevipalpus phoenicis (Geijskes),1,0,0,0,1,monophagus,,,,,,,7
Acarina,Eriophyidae,Phyllocoptruta oleivora (Ashm.),Phyllocoptruta oleivora (Ashm.),0,0,3,0,3,monophagus,,,,,,,8
Acarina,Eriophyidae,Unknown acaria sp.,Acaria sp.,0,2,0,0,2,monophagus,,,,,,,9
Collembola,Sminthuridae,Sminthurus viridus L.,Sminthurus viridus L.,0,1,1,0,2,monophagus,,,,,,,10
Collembola,Sminthuridae,Sminthurid sp.,Sminthuridae sp.,0,0,1,0,1,monophagus,,,,,,,11
Orthoptera,Phasmatidae,Diapheromera femorata (Say),Diapheromera femorata (Say),0,1,0,0,1,monophagus,,,,,,,12
Thysanoptera,Thripidae,Thrips setosus Moulton,Thrips setosus Moulton,0,0,1,0,1,monophagus,,,,,,,13
Thysanoptera,Thripidae,Thrips tabaci Lind.,Thrips tabaci Lind.,1,1,1,0,3,monophagus,,,,,,,14
Thysanoptera,Thripidae,Megalurothrips sjostedti (Tryb.),Megalurothrips sjostedti (Tryb.),0,4,7,1,12,monophagus,,,,,,,15
Thysanoptera,Thripidae,Sericothrips occipitalis Hood,Sericothrips occipitalis Hood,0,2,1,0,3,monophagus,,,,,,,16
Thysanoptera,Thripidae,Franklinella occidentalis (Perg.),Franklinella occidentalis (Perg.),0,1,0,0,1,monophagus,,,,,,,17
Thysanoptera,Thripidae,Thysanopteran sp.,Thysanopteran sp.,0,3,0,0,3,monophagus,,,,,,,18
Hemiptera,Pentatomidae,Nezara viridula (L.),Nezara viridula (L.),0,13,4,0,17,monophagus,,,,,,,19
Hemiptera,Pentatomidae,Antestiopus intricata (Ghes. & Car.),Antestiopus intricata (Ghes. & Car.),0,1,0,0,1,monophagus,,,,,,,20
Hemiptera,Pentatomidae,Homalogonia obtusa (Walker),Homalogonia obtusa (Walker),0,1,0,0,1,monophagus,,,,,,,21
Hemiptera,Pentatomidae,Homoeocerus dilatatus (Horvath),Homoeocerus dilatatus (Horvath),0,1,0,0,1,monophagus,,,,,,,22
Hemiptera,Pyrrhocoridae,Dysdercus superstitiosus (F.),Dysdercus superstitiosus (F.),0,11,9,0,20,monophagus,,,,,,,23
Hemiptera,Pyrrhocoridae,Dysdercus loenegii (F.),Dysdercus loenegii (F.),0,15,0,0,15,monophagus,,,,,,,24
Hemiptera,Coreidae,Anasa tristis (DeGeer),Anasa tristis (DeGeer),0,0,2,0,2,monophagus,,,,,,,25
Hemiptera,Coreidae,Acanthomia horrida (Germ.),Acanthomia horrida (Germ.),2,3,0,0,5,monophagus,,,,,,,26
Hemiptera,Coreidae,Clavigralla tomentosicollis (Stal),Clavigralla tomentosicollis (Stal),1,1,0,0,2,monophagus,,,,,,,27
Hemiptera,Coreidae,Anoplocnemis curvipes (F.),Anoplocnemis curvipes (F.),1,1,1,0,3,monophagus,,,,,,,28
Hemiptera,Coreidae,Riptortus dentipes (F.) [Alyd.],Riptortus dentipes (F.) [Alyd.],0,0,0,0,0,monophagus,,,,,,,29
Hemiptera,Coreidae,Mirperus jaculus Thun. [Alyd.],Mirperus jaculus Thun. [Alyd.],0,0,0,0,0,monophagus,,,,,,,30
Hemiptera,Coreidae,Clavigralla shadabi Polling,Clavigralla shadabi Polling,0,1,1,0,2,monophagus,,,,,,,31
Hemiptera,Coreidae,C. tomentosicollis (Stal),Clavigralla tomentosicollis (Stal),0,0,0,0,0,monophagus,,,,,,,32
Hemiptera,Coreidae,Amblypelta cocophaga China,Amblypelta cocophaga China,0,1,1,0,2,monophagus,,,,,,,33
