id,sbp,spc,cla,sbc,ifc,dvn,sbd,ord,sbo,ifo,spf,fam,sbf,tri,gen,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Adephaga,NA,NA,Carabidae,NA,NA,Abax,spp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Nepomorpha,Nepoidea,Belostomatidae,NA,NA,Abedus,herberti
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Staphyliniformia,Staphylinoidea,Silphidae,Silphinae,NA,Ablattaria,laevigata
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,NA,Dermaptera,Forficulina,NA,Forficuloidea,Forficulidae,NA,NA,Acanthocordax,papuanus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Bruchidae,NA,NA,Acanthoscelides,obtectus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Acanthosomatidae,Acanthosomatinae,NA,Acanthosoma,griseum
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Orthopterida,Orthoptera,Ensifera,NA,NA,Gryllidae,Gryllinae,NA,Acheta,domesticus
NA,Hexapoda,NA,Elliplura,NA,NA,NA,NA,Collembola,NA,Poduromorpha,NA,Poduridae,NA,NA,Achorutes,nivicolus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Jassidae,NA,NA,Acinopterus,angulatus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Aconophorini,Aconophora,marginata
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Aconophorini,Aconophora,robusta
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Aconophorini,Aconophora,laminata
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Aconophorini,Aconophora,compressa
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Aconophorini,Aconophora,mexicana
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Aconophorini,Aconophora,femoralis
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Aconophorini,Aconophora,nigricornis
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Aconophorini,Aconophora,pallescens
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cassidinae,NA,Acromis,spinifex
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cassidinae,NA,Acromis,sparsa
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cassidinae,NA,Acromis,nebulosa
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cassidinae,NA,Acromis,venosa
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Lepidoptera,Glossata,NA,Noctuoidea,Noctuidae,NA,NA,Actebia,fennica
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Lepidoptera,Glossata,NA,Bombycoidea,Saturniidae,NA,NA,Actias,selene
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Smiliinae,NA,Acutalis,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Cucujoidea,Coccinellidae,NA,NA,Adalia,bipunctata
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Cydnidae,Sehirinae,NA,Adomerus,triguttulus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Diptera,Nematocera,Culicomorpha,Culicoidea,Culicidae,NA,NA,Aedes,aegyptii
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Lepidoptera,NA,NA,NA,Sesiidae,NA,NA,Aegeria,pictipes
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Leptopodomorpha,NA,Aepophilidae,Aepophilinae,NA,Aepophilus,bonnairei
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Leptopodomorpha,NA,Aepophilidae,Aepophilinae,NA,Aepophilus,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Orthopterida,Orthoptera,Ensifera,NA,NA,Acrididae,NA,NA,Aeropus,sibericus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Aetalionidae,NA,NA,Aetalion,reticulatum
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Adephaga,NA,NA,Dytiscidae,NA,NA,Agabus,bipustulatus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Lepidoptera,Glossata,NA,Tortricoidea,Tortricidae,Tortricinae,Cochylini,Agapeta,zoegana
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Tessarotomidae,NA,NA,Agapophyta,viridula
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,NA,NA,Agasicles,hygrophila
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Hymenoptera,Symphyta,NA,Tenthredinoidea,Tenthredinidae,Tenthredininae,NA,Aglaostigma,occipitosa
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Lepidoptera,Glossata,NA,Bombycoidea,Saturniidae,NA,NA,Aglia,tau
