"","taxon","parent_taxon"
"1","Schaefferia","Hypogastruridae"
"2","Schaefferia",NA
"3","Mesachorutes","Hypogastruridae"
"4","Triacanthella","Hypogastruridae"
"5","Clingmantha",NA
"6","Microgastrura","Hypogastruridae"
"7","Stenogastrura","Hypogastruridae"
"8","Xenylla","Hypogastruridae"
"9","Acherontiella","Hypogastruridae"
"10","Acherontiellina",NA
"11","Willemia","Hypogastruridae"
"12","Tafallia","Hypogastruridae"
"13","Hoffia",NA
"14","Odontella","Odontellidae"
"15","Superodontella",NA
"16","Brachystomella","Brachystomellidae"
"17","Friesea","Frieseinae"
"18","Macgillivraya",NA
"19","Prospinanura",NA
"20","Oudemansia","Pseudachorutinae"
"21","Pseudachorutes","Pseudachorutinae"
"22","Gnathocephalus",NA
"23","Brachysius",NA
"24","Logacanura",NA
"25","Anurida","Pseudachorutinae"
"26","Paranura","Paranurini"
"27","Morulina","Morulininae"
"28","Neanura","Neanurini"
"29","Symphypleona","Collembola"
"30","Sminthuridae","Sminthuroidea"
"31","Smynthuridae",NA
"32","Sminthurides","Sminthurididae"
"33","Ptenothrix","Ptenothricinae"
"34","Sminthurinus","Katiannidae"
"35","Dicyrtoma","Dicyrtominae"
"36","Sminthurus","Sminthurinae"
"37","Smynthurus",NA
"38","Bourletiella","Bourletiellidae"
"39","Collophora","Collophoridae"
"40","Arrhopalites","Arrhopalitidae"
"41","Pseudarrhopalites",NA
"42","Coecarrhopalites",NA
"43","Sphyrotheca","Sphyrothecinae"
"44","Neosminthurus","Sminthurinae"
"45","Vesicephalus","Katiannidae"
"46","Neelidae","Neelipleona"
"47","Neelus","Neelidae"
"48","Pterygota","Insecta"
"49","Exopterygota",NA
"50","Ephemeroptera","Palaeoptera"
"51","Heptagenioidea","Pisciforma"
"52","Heptageniidae","Heptagenioidea"
"53","Arthroplea","Arthropleidae"
"54","Stenonema","Heptageniidae"
"55","Cinygmula","Heptageniidae"
"56","Rhithrogena","Heptageniidae"
"57","Cinygma","Heptageniidae"
"58","Heptagenia","Heptageniidae"
"59","Epeorus","Heptageniidae"
"60","Ironopsis",NA
"61","Iron",NA
"62","Anepeorus","Heptageniidae"
"63","Ironodes","Heptageniidae"
"64","Pseudiron","Pseudironidae"
"65","Leucrocuta","Heptageniidae"
"66","Nixe","Heptageniidae"
"67","Stenacron","Heptageniidae"
"68","Macdunnoa","Heptageniidae"
"69","Spinadis","Heptageniidae"
"70","Raptoheptagenia","Heptageniidae"
"71","Acanthomola",NA
"72","Baetidae","Pisciforma"
"73","Cloeon","Baetidae"
"74","Neocloeon",NA
"75","Pseudocloeon","Baetidae"
"76","Heterocloeon","Baetidae"
"77","Rheobaetis",NA
"78","Baetis","Baetidae"
"79","Acentrella","Baetidae"
"80","Centroptilum","Baetidae"
"81","Paracloeodes","Baetidae"
"82","Callibaetis","Baetidae"
"83","Neobaetis",NA
"84","Apobaetis","Baetidae"
"85","Baetodes","Baetidae"
"86","Dactylobaetis",NA
"87","Siphlonuridae","Pisciforma"
"88","Siphluridae",NA
"89","Siphlonurus","Siphlonuridae"
"90","Siphlonisca","Siphlonuridae"
"91","Parameletus","Siphlonuridae"
"92","Acanthametropus","Acanthametropodidae"
"93","Metreturus",NA
"94","Analetris","Acanthametropodidae"
"95","Edmundsius","Siphlonuridae"
"96","Ameletus","Ameletidae"
"97","Oligoneuriidae","Heptagenioidea"
"98","Lachlania","Oligoneuriidae"
"99","Homoeoneuria","Oligoneuriidae"
"100","Oligoneuria","Oligoneuriidae"
"101","Isonychia","Isonychiidae"
"102","Ametropodidae","Pisciforma"
"103","Ametropus","Ametropodidae"
"104","Metretopodidae","Pisciforma"
"105","Siphloplecton","Metretopodidae"
