,t1,t2,t3,t4,t5,t6,t7,t8
30,Sminthuridae,Sminthuroidea,,Symphypleona,Collembola,,,Hexapoda
338,Phasmatidae,,,,Phasmida,Polyneoptera,Insecta,Hexapoda
385,Forficulidae,Forficuloidea,,Eudermaptera,Dermaptera,Polyneoptera,Insecta,Hexapoda
577,Thripidae,,,Terebrantia,Thysanoptera,Paraneoptera,Insecta,Hexapoda
580,Phlaeothripidae,,,Tubulifera,Thysanoptera,Paraneoptera,Insecta,Hexapoda
714,Saldidae,Leptopodoidea,Leptopodomorpha,Heteroptera,Hemiptera,Paraneoptera,Insecta,Hexapoda
767,Miridae,Miroidea,Cimicomorpha,Heteroptera,Hemiptera,Paraneoptera,Insecta,Hexapoda
1048,Anthocoridae,Cimicoidea,Cimicomorpha,Heteroptera,Hemiptera,Paraneoptera,Insecta,Hexapoda
1092,Nabidae,Cimicoidea,Cimicomorpha,Heteroptera,Hemiptera,Paraneoptera,Insecta,Hexapoda
1111,Reduviidae,Reduvoidea,Cimicomorpha,Heteroptera,Hemiptera,Paraneoptera,Insecta,Hexapoda
1196,Geocoridae,Lygaeoidea,Pentatomomorpha,Heteroptera,Hemiptera,Paraneoptera,Insecta,Hexapoda
1312,Alydidae,Coreoidea,Pentatomomorpha,Heteroptera,Hemiptera,Paraneoptera,Insecta,Hexapoda
1328,Coreidae,Coreoidea,Pentatomomorpha,Heteroptera,Hemiptera,Paraneoptera,Insecta,Hexapoda
1403,Pentatomidae,Pentatomoidea,Pentatomomorpha,Heteroptera,Hemiptera,Paraneoptera,Insecta,Hexapoda
1514,Membracidae,Membracoidea,Cicadomorpha,Auchenorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1515,Cicadellidae,Membracoidea,Cicadomorpha,Auchenorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1516,Cercopidae,Cercopoidea,Cicadomorpha,Auchenorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1519,Delphacidae,Fulgoroidea,Fulgoromorpha,Auchenorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1523,Fulgoridae,Fulgoroidea,Fulgoromorpha,Auchenorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1531,Psyllidae,Psylloidea,,Sternorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1533,Aleyrodidae,Aleyrodoidea,,Sternorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1535,Aphididae,Aphidoidea,,Sternorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1542,Diaspididae,Coccoidea,,Sternorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1543,Coccidae,Coccoidea,,Sternorrhyncha,Hemiptera,Paraneoptera,Insecta,Hexapoda
1568,Carabidae,,,Adephaga,Coleoptera,Holometabola,Insecta,Hexapoda
1882,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Holometabola,Insecta,Hexapoda
2083,Cryptophagidae,Cucujoidea,Cucujiformia,Polyphaga,Coleoptera,Holometabola,Insecta,Hexapoda
2093,Coccinellidae,Cucujoidea,Cucujiformia,Polyphaga,Coleoptera,Holometabola,Insecta,Hexapoda
2111,Lathridiidae,Cucujoidea,Cucujiformia,Polyphaga,Coleoptera,Holometabola,Insecta,Hexapoda
