"","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17"
"30","Sminthuridae","Sminthuroidea","Symphypleona","Collembola","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA,NA,NA,NA,NA,NA
"338","Phasmatidae","Phasmida","Polyneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA,NA,NA,NA
"385","Forficulidae","Forficuloidea","Eudermaptera","Dermaptera","Polyneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA,NA
"577","Thripidae","Terebrantia","Thysanoptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA,NA,NA
"580","Phlaeothripidae","Tubulifera","Thysanoptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA,NA,NA
"714","Saldidae","Leptopodoidea","Leptopodomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"767","Miridae","Miroidea","Cimicomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1048","Anthocoridae","Cimicoidea","Cimicomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1092","Nabidae","Cimicoidea","Cimicomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1111","Reduviidae","Reduvoidea","Cimicomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1196","Geocoridae","Lygaeoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1310","Pyrrhocoridae","Pyrrhocoroidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1312","Alydidae","Coreoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1328","Coreidae","Coreoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1403","Pentatomidae","Pentatomoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1514","Membracidae","Membracoidea","Cicadomorpha","Auchenorrhyncha","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1515","Cicadellidae","Membracoidea","Cicadomorpha","Auchenorrhyncha","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
"1516","Cercopidae","Cercopoidea","Cicadomorpha","Auchenorrhyncha","Hemiptera","Paraneoptera","Neoptera","Pterygota","Insecta","Hexapoda","Arthropoda","Ecdysozoa","Protostomia","Bilateria","Animalia",NA,NA
